	gene_id	case_transcript	control_transcript
2583	GBP2	ENST00000464839.5	ENST00000370466.3
2584	PCSK7	ENST00000540028.5	ENST00000320934.7
2596	ARHGEF6	ENST00000250617.6	ENST00000370620.5
2599	LMO2	ENST00000257818.2	ENST00000395833.7
2600	NAP1L1	ENST00000393263.7	ENST00000548044.5
2695	CLSTN2	ENST00000620185.1	ENST00000458420.7
2729	THRA	ENST00000546243.5	ENST00000394121.8
2733	CYBRD1	ENST00000375252.3	ENST00000321348.8
2735	TSPAN6	ENST00000612152.4	ENST00000373020.8
2801	PIP5K1B	ENST00000541509.5	ENST00000265382.7
2815	TRIM2	ENST00000632856.1	ENST00000338700.9
2820	PTGDS	ENST00000471521.5	ENST00000371625.7
2821	METTL7A	ENST00000547104.1	ENST00000332160.4
2823	HABP4	ENST00000375251.7	ENST00000375249.4
2824	PLS3	ENST00000355899.7	ENST00000539310.5
2829	SLC27A1	ENST00000598424.5	ENST00000252595.11
2830	DPYD	ENST00000306031.5	ENST00000370192.7
2831	ZNF503	ENST00000535216.2	ENST00000372524.4
2832	CTF1	ENST00000395019.3	ENST00000279804.2
2838	TIE1	ENST00000538015.1	ENST00000372476.7
2839	CYP2U1	ENST00000508453.1	ENST00000332884.10
2894	KREMEN1	ENST00000327813.9	ENST00000400335.8
2896	ARID5B	ENST00000309334.5	ENST00000279873.11
2897	RNLS	ENST00000371947.7	ENST00000331772.8
2899	TSC22D1	ENST00000458659.2	ENST00000261489.6
2903	CCDC28A	ENST00000332797.10	ENST00000617445.4
2907	VWA5A	ENST00000361352.9	ENST00000392748.5
2912	EHD2	ENST00000538399.1	ENST00000263277.7
2932	LAMA2	ENST00000617695.4	ENST00000421865.2
2953	SCNN1B	ENST00000307331.9	ENST00000343070.6
3017	AK3	ENST00000611749.4	ENST00000381809.7
3029	FBXO17	ENST00000595329.5	ENST00000292852.8
3030	DDR2	ENST00000367921.7	ENST00000367922.7
3074	LPAR1	ENST00000541779.5	ENST00000358883.8
3079	MT1A	ENST00000622334.1	ENST00000290705.12
3080	ARMCX1	ENST00000616751.1	ENST00000372829.7
3081	PPCS	ENST00000372561.3	ENST00000372556.3
3135	EXOC1	ENST00000346134.11	ENST00000349598.6
3137	TNXB	ENST00000451343.4	ENST00000479795.1
3173	CPAMD8	ENST00000388925.8	ENST00000443236.5
3174	MYOF	ENST00000358334.9	ENST00000359263.8
3180	CXCL14	ENST00000337225.5	ENST00000512158.5
3195	RASD1	ENST00000579152.1	ENST00000225688.3
3211	ZCCHC24	ENST00000372333.3	ENST00000372336.3
3237	DPP4	ENST00000628861.1	ENST00000360534.7
3238	SSR3	ENST00000476217.5	ENST00000265044.6
3244	RASSF8-AS1	ENST00000535436.5	ENST00000500276.6
3245	MARC2	ENST00000359316.6	ENST00000366913.7
3267	ARHGAP23	ENST00000620417.4	ENST00000622683.4
3353	PXMP4	ENST00000217398.3	ENST00000409299.7
3355	RTN4	ENST00000317610.11	ENST00000394609.6
3364	SLC35G2	ENST00000446465.2	ENST00000393079.3
3365	CCDC25	ENST00000522915.5	ENST00000356537.8
3367	CPXM2	ENST00000615851.4	ENST00000241305.3
