GeneId	Control_transcript	Case_transcript
FTSJ3	ENST00000427159.6	ENST00000582476.1
TECPR1	ENST00000463648.1	ENST00000462511.5
TECPR1	ENST00000463648.1	ENST00000479975.5
TECPR1	ENST00000463648.1	ENST00000485716.1
TECPR1	ENST00000463648.1	ENST00000479911.5
TECPR1	ENST00000463648.1	ENST00000488667.1
TECPR1	ENST00000463648.1	ENST00000472845.5
TECPR1	ENST00000463648.1	ENST00000463402.5
TECPR1	ENST00000463648.1	ENST00000447648.6
TECPR1	ENST00000463648.1	ENST00000490842.5
TECPR1	ENST00000463648.1	ENST00000483740.1
LRRC37A3	ENST00000339474.9	ENST00000577487.1
LRRC37A3	ENST00000339474.9	ENST00000581368.5
LRRC37A3	ENST00000339474.9	ENST00000579305.1
LRRC37A3	ENST00000339474.9	ENST00000584788.5
LRRC37A3	ENST00000339474.9	ENST00000580464.1
LRRC37A3	ENST00000339474.9	ENST00000580439.1
LRRC37A3	ENST00000339474.9	ENST00000334962.9
LRRC37A3	ENST00000339474.9	ENST00000583510.1
CTAGE5	ENST00000341749.7	ENST00000553352.1
CTAGE5	ENST00000341749.7	ENST00000556593.1
CTAGE5	ENST00000341749.7	ENST00000280083.7
CTAGE5	ENST00000341749.7	ENST00000348007.7
CTAGE5	ENST00000341749.7	ENST00000556148.5
CTAGE5	ENST00000341749.7	ENST00000553383.1
CTAGE5	ENST00000341749.7	ENST00000341502.9
CTAGE5	ENST00000396165.8	ENST00000553383.1
CTAGE5	ENST00000396158.6	ENST00000553383.1
CTAGE5	ENST00000555716.5	ENST00000553383.1
CTAGE5	ENST00000557038.5	ENST00000553383.1
CTAGE5	ENST00000556990.1	ENST00000553383.1
CTAGE5	ENST00000554392.5	ENST00000553383.1
ZNF668	ENST00000300849.4	ENST00000426488.6
ZNF668	ENST00000300849.4	ENST00000539836.3
ZNF668	ENST00000300849.4	ENST00000535577.5
ZNF668	ENST00000300849.4	ENST00000442862.2
ZNF668	ENST00000300849.4	ENST00000538906.5
ZNF668	ENST00000300849.4	ENST00000414399.1
THOC1	ENST00000581269.5	ENST00000577429.5
THOC1	ENST00000580544.1	ENST00000577429.5
THOC1	ENST00000584642.1	ENST00000577429.5
THOC1	ENST00000581116.1	ENST00000577429.5
THOC1	ENST00000616322.4	ENST00000577429.5
THOC1	ENST00000261600.10	ENST00000585307.1
THOC1	ENST00000261600.10	ENST00000621904.4
THOC1	ENST00000261600.10	ENST00000577429.5
THOC1	ENST00000261600.10	ENST00000578224.5
THOC1	ENST00000261600.10	ENST00000581576.1
THOC1	ENST00000261600.10	ENST00000584470.5
THOC1	ENST00000261600.10	ENST00000578529.5
THOC1	ENST00000261600.10	ENST00000579232.5
THOC1	ENST00000261600.10	ENST00000583228.5
THOC1	ENST00000261600.10	ENST00000580038.5
THOC1	ENST00000261600.10	ENST00000580870.5
THOC1	ENST00000261600.10	ENST00000579891.5
THOC1	ENST00000261600.10	ENST00000631280.2
THOC1	ENST00000261600.10	ENST00000577552.5
THOC1	ENST00000582313.5	ENST00000577429.5
CORO7	ENST00000251166.8	ENST00000575531.5
CORO7	ENST00000251166.8	ENST00000537233.6
CORO7	ENST00000251166.8	ENST00000572140.1
CORO7	ENST00000251166.8	ENST00000571756.5
CORO7	ENST00000251166.8	ENST00000572026.5
CORO7	ENST00000251166.8	ENST00000572518.1
CORO7	ENST00000251166.8	ENST00000576637.1
CORO7	ENST00000251166.8	ENST00000572666.5
CORO7	ENST00000251166.8	ENST00000573245.1
CORO7	ENST00000251166.8	ENST00000574025.5
CORO7	ENST00000251166.8	ENST00000572125.1
CORO7	ENST00000251166.8	ENST00000570928.5
CORO7	ENST00000251166.8	ENST00000577144.5
CORO7	ENST00000251166.8	ENST00000576457.5
CORO7	ENST00000251166.8	ENST00000576051.5
CORO7	ENST00000251166.8	ENST00000573773.5
CORO7	ENST00000251166.8	ENST00000575714.5
CORO7	ENST00000251166.8	ENST00000571227.5
CORO7	ENST00000251166.8	ENST00000570645.5
CORO7	ENST00000251166.8	ENST00000570779.1
CORO7	ENST00000251166.8	ENST00000574849.1
MTERF2	ENST00000550496.1	ENST00000552029.1
MTERF2	ENST00000547115.1	ENST00000552029.1
MTERF2	ENST00000240050.8	ENST00000552029.1
MTERF2	ENST00000240050.8	ENST00000550736.1
MTERF2	ENST00000240050.8	ENST00000392830.6
MTERF2	ENST00000548101.1	ENST00000552029.1
PTS	ENST00000280362.7	ENST00000524931.1
PTS	ENST00000280362.7	ENST00000528679.5
PTS	ENST00000280362.7	ENST00000531673.5
PTS	ENST00000280362.7	ENST00000527635.1
PTS	ENST00000280362.7	ENST00000525803.1
PTS	ENST00000280362.7	ENST00000525645.1
PTS	ENST00000280362.7	ENST00000527428.5
PTS	ENST00000280362.7	ENST00000531175.1
WDR45B	ENST00000392325.8	ENST00000577774.1
WDR45B	ENST00000392325.8	ENST00000571767.5
WDR45B	ENST00000392325.8	ENST00000573656.5
WDR45B	ENST00000392325.8	ENST00000571817.5
WDR45B	ENST00000392325.8	ENST00000576517.1
WDR45B	ENST00000392325.8	ENST00000572583.5
WDR45B	ENST00000392325.8	ENST00000574828.1
EPB41L1	ENST00000432589.5	ENST00000202028.9
EPB41L1	ENST00000451082.5	ENST00000202028.9
EPB41L1	ENST00000628415.2	ENST00000338074.6
EPB41L1	ENST00000628415.2	ENST00000373945.5
EPB41L1	ENST00000628415.2	ENST00000479336.1
EPB41L1	ENST00000628415.2	ENST00000432603.1
EPB41L1	ENST00000628415.2	ENST00000373941.5
EPB41L1	ENST00000628415.2	ENST00000202028.9
EPB41L1	ENST00000373950.6	ENST00000202028.9
EPB41L1	ENST00000447825.5	ENST00000202028.9
EPB41L1	ENST00000373946.7	ENST00000202028.9
EPB41L1	ENST00000441639.5	ENST00000202028.9
EPB41L1	ENST00000427533.2	ENST00000202028.9
EPB41L1	ENST00000430276.5	ENST00000202028.9
EPB41L1	ENST00000406771.6	ENST00000202028.9
SPSB3	ENST00000301717.8	ENST00000568416.1
SPSB3	ENST00000301717.8	ENST00000569380.5
SPSB3	ENST00000301717.8	ENST00000563741.5
SPSB3	ENST00000301717.8	ENST00000564070.1
